pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
Kepler-383 b,1,2,12.904532,0.095,1.32,0.118,2.3,0.00724,M-R relationship,5.5,0,20.91,545,88.77,30.58,0.01827,,4710,0.67,0.67,-0.178,-0.698,4.62,13.9,3.24938,470,15.473,12.674,15.0655,Super Earth
Kepler-383 c,1,2,31.200751,0.172,1.24,0.111,2.07,0.00651,M-R relationship,5.97,0,6.44,406,89.04,42.5,0.01815,,4710,0.67,0.67,-0.178,-0.698,4.62,13.9,1.48794,470,15.473,12.674,15.0655,Super Earth
Kepler-384 b,1,2,22.597053,0.148,1.12,0.1,1.46,0.00459,M-R relationship,5.71,0,101.55,670,89.87,28.19,0.01081,,5577,0.88,0.97,-0.459,0.396,4.47,1.5,0.80039,895.678,13.734,12.038,13.5538,Super Earth
Kepler-384 c,1,2,45.348269,0.236,1.13,0.101,1.51,0.00474,M-R relationship,5.75,0,40.1,531,88.78,73.8,0.01212,,5577,0.88,0.97,-0.459,0.396,4.47,1.5,3.69419,895.678,13.734,12.038,13.5538,Super Earth
Kepler-385 b,1,3,10.043686,0.097,2.73,0.244,12.8,0.04,Mass,3.46,0,143.92,951,79.64,5.3,0.0201,,6326,1.13,1.12,0.04,0.144,4.41,3.31,0.02962,1432.61,15.76,13.819,15.192,Super Earth
Kepler-386 b,1,2,12.31043,0.096,1.39,0.124,2.51,0.0079,M-R relationship,5.14,0,43.26,651,87.21,25.69,0.01553,,5178,0.77,0.82,0.16,-0.402,4.56,4.68,2.11687,882.462,15.949,13.605,15.6172,Super Earth
Kepler-386 c,1,2,25.193458,0.155,1.58,0.141,3.12,0.00982,M-R relationship,4.35,0,16.66,513,88.78,41.54,0.02186,,5178,0.77,0.82,0.16,-0.402,4.56,9.9,2.13674,882.462,15.949,13.605,15.6172,Super Earth
Kepler-387 b,1,2,6.791636,0.068,1.03,0.092,1.08,0.0034,M-R relationship,5.43,0,304.08,994,89.55,15.56,0.00932,,5774,1.05,0.82,-0.4,0.137,4.35,1.01,1.49924,801.052,14.129,12.536,13.9345,Super Earth
Kepler-387 c,1,2,11.837549,0.098,0.89,0.079,0.64,0.00201,M-R relationship,4.99,0,144.96,826,88.58,25.08,0.00912,,5774,1.05,0.82,-0.4,0.137,4.35,1.01,2.13085,801.052,14.129,12.536,13.9345,Terrestrial
Kepler-388 b,1,2,3.173315,0.036,0.81,0.072,0.457,0.00144,M-R relationship,4.73,0,112.21,830,89.62,12.83,0.01309,,4498,0.59,0.64,0,-0.439,4.69,13.9,3.16904,425,15.218,12.544,15.0015,Terrestrial
Kepler-388 c,1,2,13.297004,0.093,0.86,0.077,0.566,0.00178,M-R relationship,4.89,0,16.64,515,89.95,31.34,0.01313,,4498,0.59,0.64,0,-0.439,4.69,13.9,3.29427,425,15.218,12.544,15.0015,Terrestrial
Kepler-389 b,1,2,3.244107,0.041,1.51,0.135,2.89,0.00909,M-R relationship,4.61,0,167.06,1047,84.86,5.9,0.01843,,5376,0.79,0.81,0.16,-0.516,4.57,4.68,3.06944,816.559,15.769,13.896,15.7495,Super Earth
Kepler-389 c,1,2,14.51143,0.11,1.46,0.13,2.73,0.00859,M-R relationship,4.82,0,22.73,636,85.38,11.51,0.01694,,5376,0.79,0.81,0.16,-0.516,4.57,4.68,2.75981,816.559,15.769,13.896,15.7495,Super Earth
Kepler-390 b,2,2,6.738088,0.065,0.82,0.073,0.477,0.0015,M-R relationship,4.75,0,99.97,786,89.57,21.28,0.00928,,5166,0.78,0.86,-0.044,-0.352,4.57,3.24,3.24733,435.277,14.231,12.075,13.9222,Terrestrial
Kepler-390 c,2,2,13.060022,0.101,0.79,0.07,0.418,0.00131,M-R relationship,4.66,0,41.35,630,89.08,30.81,0.00958,,5166,0.78,0.86,-0.044,-0.352,4.57,3.24,3.5831,435.277,14.231,12.075,13.9222,Terrestrial
Kepler-392 b,1,2,5.341853,0.059,1,0.089,0.972,0.00306,M-R relationship,5.34,0,450.65,1125,89.65,11.48,0.00776,,5938,1.13,1.07,-0.436,0.195,4.32,2.97,1.0041,681.428,13.528,12.121,13.4218,Terrestrial
